,Name,Type,Total,HP,Attack,Defense,Special.Attack,Special.Defense,Speed,Legendary
55,Ninetales,Fire,505,73,76,75,81,100,100,FALSE
57,Jigglypuff,Normal,270,115,45,20,45,25,20,FALSE
58,Wigglytuff,Normal,435,140,70,45,85,50,45,FALSE
59,Zubat,Poison,245,40,45,35,30,40,55,FALSE
60,Golbat,Poison,455,75,80,70,65,75,90,FALSE
61,Oddish,Grass,320,45,50,55,75,65,30,FALSE
62,Gloom,Grass,395,60,65,70,85,75,40,FALSE
63,Vileplume,Grass,490,75,80,85,110,90,50,FALSE
64,Paras,Bug,285,35,70,55,45,55,25,FALSE
65,Parasect,Bug,405,60,95,80,60,80,30,FALSE
66,Venonat,Bug,305,60,55,50,40,55,45,FALSE
67,Venomoth,Bug,450,70,65,60,90,75,90,FALSE
68,Diglett,Ground,265,10,55,25,35,45,95,FALSE
70,Dugtrio,Ground,405,35,80,50,50,70,120,FALSE
72,Meowth,Normal,290,40,45,35,40,40,90,FALSE
73,Gigantamax Meowth,Normal,290,40,45,35,40,40,90,FALSE
76,Persian,Normal,440,65,70,60,65,65,115,FALSE
78,Psyduck,Water,320,50,52,48,65,50,55,FALSE
79,Golduck,Water,500,80,82,78,95,80,85,FALSE
80,Mankey,Fighting,305,40,80,35,35,45,70,FALSE
81,Primeape,Fighting,455,65,105,60,60,70,95,FALSE
82,Growlithe,Fire,350,55,70,45,70,50,60,FALSE
83,Arcanine,Fire,555,90,110,80,100,80,95,FALSE
84,Poliwag,Water,300,40,50,40,40,40,90,FALSE
85,Poliwhirl,Water,385,65,65,65,50,50,90,FALSE
86,Poliwrath,Water,510,90,95,95,70,90,70,FALSE
87,Abra,Psychic,310,25,20,15,105,55,90,FALSE
88,Kadabra,Psychic,400,40,35,30,120,70,105,FALSE
89,Alakazam,Psychic,500,55,50,45,135,95,120,FALSE
90,Mega Alakazam,Psychic,590,55,50,65,175,95,150,FALSE
91,Machop,Fighting,305,70,80,50,35,35,35,FALSE
92,Machoke,Fighting,405,80,100,70,50,60,45,FALSE
93,Machamp,Fighting,505,90,130,80,65,85,55,FALSE
94,Gigantamax Machamp,Fighting,505,90,130,80,65,85,55,FALSE
95,Bellsprout,Grass,300,50,75,35,70,30,40,FALSE
96,Weepinbell,Grass,390,65,90,50,85,45,55,FALSE
97,Victreebel,Grass,490,80,105,65,100,70,70,FALSE
98,Tentacool,Water,335,40,40,35,50,100,70,FALSE
99,Tentacruel,Water,515,80,70,65,80,120,100,FALSE
100,Geodude,Rock,300,40,80,100,30,30,20,FALSE
102,Graveler,Rock,390,55,95,115,45,45,35,FALSE
104,Golem,Rock,495,80,120,130,55,65,45,FALSE
106,Ponyta,Fire,410,50,85,55,65,65,90,FALSE
108,Rapidash,Fire,500,65,100,70,80,80,105,FALSE
110,Slowpoke,Water,315,90,65,65,40,40,15,FALSE
112,Slowbro,Water,490,95,75,110,100,80,30,FALSE
114,Mega Slowbro,Water,590,95,75,180,130,80,30,FALSE
115,Magnemite,Electric,325,25,35,70,95,55,45,FALSE
116,Magneton,Electric,465,50,60,95,120,70,70,FALSE
117,Farfetch'd,Normal,352,52,90,55,58,62,60,FALSE
119,Doduo,Normal,310,35,85,45,35,35,75,FALSE
120,Dodrio,Normal,460,60,110,70,60,60,100,FALSE
121,Seel,Water,325,65,45,55,45,70,45,FALSE
122,Dewgong,Water,475,90,70,80,70,95,70,FALSE
123,Grimer,Poison,325,80,80,50,40,50,25,FALSE
125,Muk,Poison,500,105,105,75,65,100,50,FALSE
127,Shellder,Water,305,30,65,100,45,25,40,FALSE
128,Cloyster,Water,525,50,95,180,85,45,70,FALSE
129,Gastly,Ghost,310,30,35,30,100,35,80,FALSE
130,Haunter,Ghost,405,45,50,45,115,55,95,FALSE
131,Gengar,Ghost,500,60,65,60,130,75,110,FALSE
132,Mega Gengar,Ghost,600,60,65,80,170,95,130,FALSE
133,Gigantamax Gengar,Ghost,500,60,65,60,130,75,110,FALSE
134,Onix,Rock,385,35,45,160,30,45,70,FALSE
135,Drowzee,Psychic,328,60,48,45,43,90,42,FALSE
136,Hypno,Psychic,483,85,73,70,73,115,67,FALSE
137,Krabby,Water,325,30,105,90,25,25,50,FALSE
138,Kingler,Water,475,55,130,115,50,50,75,FALSE
139,Gigantamax Kingler,Water,475,55,130,115,50,50,75,FALSE
140,Voltorb,Electric,330,40,30,50,55,55,100,FALSE
141,Electrode,Electric,480,60,50,70,80,80,140,FALSE
142,Exeggcute,Grass,325,60,40,80,60,45,40,FALSE
143,Exeggutor,Grass,520,95,95,85,125,65,55,FALSE
145,Cubone,Ground,320,50,50,95,40,50,35,FALSE
146,Marowak,Ground,425,60,80,110,50,80,45,FALSE
148,Hitmonlee,Fighting,455,50,120,53,35,110,87,FALSE
149,Hitmonchan,Fighting,455,50,105,79,35,110,76,FALSE
150,Lickitung,Normal,385,90,55,75,60,75,30,FALSE
151,Koffing,Poison,340,40,65,95,60,45,35,FALSE
152,Weezing,Poison,490,65,90,120,85,70,60,FALSE
154,Rhyhorn,Ground,345,80,85,95,30,30,25,FALSE
155,Rhydon,Ground,485,105,130,120,45,45,40,FALSE
156,Chansey,Normal,450,250,5,5,35,105,50,FALSE
157,Tangela,Grass,435,65,55,115,100,40,60,FALSE
158,Kangaskhan,Normal,490,105,95,80,40,80,90,FALSE
159,Mega Kangaskhan,Normal,590,105,125,100,60,100,100,FALSE
160,Horsea,Water,295,30,40,70,70,25,60,FALSE
161,Seadra,Water,440,55,65,95,95,45,85,FALSE
162,Goldeen,Water,320,45,67,60,35,50,63,FALSE
163,Seaking,Water,450,80,92,65,65,80,68,FALSE
164,Staryu,Water,340,30,45,55,70,55,85,FALSE
165,Starmie,Water,520,60,75,85,100,85,115,FALSE
166,Mr. Mime,Psychic,460,40,45,65,100,120,90,FALSE
168,Scyther,Bug,500,70,110,80,55,80,105,FALSE
169,Jynx,Ice,455,65,50,35,115,95,95,FALSE
170,Electabuzz,Electric,490,65,83,57,95,85,105,FALSE
171,Magmar,Fire,495,65,95,57,100,85,93,FALSE
172,Pinsir,Bug,500,65,125,100,55,70,85,FALSE
173,Mega Pinsir,Bug,600,65,155,120,65,90,105,FALSE
174,Tauros,Normal,490,75,100,95,40,70,110,FALSE
175,Magikarp,Water,200,20,10,55,15,20,80,FALSE
176,Gyarados,Water,540,95,125,79,60,100,81,FALSE
177,Mega Gyarados,Water,640,95,155,109,70,130,81,FALSE
178,Lapras,Water,535,130,85,80,85,95,60,FALSE
179,Gigantamax Lapras,Water,535,130,85,80,85,95,60,FALSE
180,Ditto,Normal,288,48,48,48,48,48,48,FALSE
181,Eevee,Normal,325,55,55,50,45,65,55,FALSE
182,Gigantamax Eevee,Normal,325,55,55,50,45,65,55,FALSE
183,Vaporeon,Water,525,130,65,60,110,95,65,FALSE
184,Jolteon,Electric,525,65,65,60,110,95,130,FALSE
185,Flareon,Fire,525,65,130,60,95,110,65,FALSE
186,Porygon,Normal,395,65,60,70,85,75,40,FALSE
187,Omanyte,Rock,355,35,40,100,90,55,35,FALSE
188,Omastar,Rock,495,70,60,125,115,70,55,FALSE
189,Kabuto,Rock,355,30,80,90,55,45,55,FALSE
190,Kabutops,Rock,495,60,115,105,65,70,80,FALSE
191,Aerodactyl,Rock,515,80,105,65,60,75,130,FALSE
192,Mega Aerodactyl,Rock,615,80,135,85,70,95,150,FALSE
193,Snorlax,Normal,540,160,110,65,65,110,30,FALSE
194,Gigantamax Snorlax,Normal,540,160,110,65,65,110,30,FALSE
195,Articuno,Ice,580,90,85,100,95,125,85,TRUE
197,Zapdos,Electric,580,90,90,85,125,90,100,TRUE
199,Moltres,Fire,580,90,100,90,125,85,90,TRUE
201,Dratini,Dragon,300,41,64,45,50,50,50,FALSE
202,Dragonair,Dragon,420,61,84,65,70,70,70,FALSE
203,Dragonite,Dragon,600,91,134,95,100,100,80,FALSE
204,Mewtwo,Psychic,680,106,110,90,154,90,130,TRUE
205,Mega Mewtwo X,Psychic,780,106,190,100,154,100,130,TRUE
206,Mega Mewtwo Y,Psychic,780,106,150,70,194,120,140,TRUE
207,Mew,Psychic,600,100,100,100,100,100,100,TRUE
