car name,mpg,displacement,weight,model year,origin
ford gran torino (sw),13,302,4294,72,1
plymouth satellite custom (sw),14,318,4077,72,1
volvo 145e (sw),18,121,2933,72,2
volkswagen 411 (sw),22,121,2511,72,2
peugeot 504 (sw),21,120,2979,72,2
renault 12 (sw),26,96,2189,72,2
ford pinto (sw),22,122,2395,72,1
datsun 510 (sw),28,97,2288,72,3
toyouta corona mark ii (sw),23,120,2506,72,3
dodge colt (sw),28,98,2164,72,1
toyota corolla 1600 (sw),27,97,2100,72,3
buick century 350,13,350,4100,73,1
amc matador,14,304,3672,73,1
chevrolet malibu,13,350,3988,73,1
ford gran torino,14,302,4042,73,1
dodge coronet custom,15,318,3777,73,1
mercury marquis brougham,12,429,4952,73,1
chevrolet caprice classic,13,400,4464,73,1
ford ltd,13,351,4363,73,1
plymouth fury gran sedan,14,318,4237,73,1
chrysler new yorker brougham,13,440,4735,73,1
buick electra 225 custom,12,455,4951,73,1
amc ambassador brougham,13,360,3821,73,1
plymouth valiant,18,225,3121,73,1
chevrolet nova custom,16,250,3278,73,1
amc hornet,18,232,2945,73,1
ford maverick,18,250,3021,73,1
plymouth duster,23,198,2904,73,1
volkswagen super beetle,26,97,1950,73,2
chevrolet impala,11,400,4997,73,1
ford country,12,400,4906,73,1
plymouth custom suburb,13,360,4654,73,1
oldsmobile vista cruiser,12,350,4499,73,1
amc gremlin,18,232,2789,73,1
toyota carina,20,97,2279,73,3
chevrolet vega,21,140,2401,73,1
datsun 610,22,108,2379,73,3
maxda rx3,18,70,2124,73,3
ford pinto,19,122,2310,73,1
mercury capri v6,21,155,2472,73,1
fiat 124 sport coupe,26,98,2265,73,2
chevrolet monte carlo s,15,350,4082,73,1
pontiac grand prix,16,400,4278,73,1
fiat 128,29,68,1867,73,2
opel manta,24,116,2158,73,2
audi 100ls,20,114,2582,73,2
volvo 144ea,19,121,2868,73,2
dodge dart custom,15,318,3399,73,1
saab 99le,24,121,2660,73,2
toyota mark ii,20,156,2807,73,3
oldsmobile omega,11,350,3664,73,1
plymouth duster,20,198,3102,74,1
ford maverick,21,200,2875,74,1
amc hornet,19,232,2901,74,1
chevrolet nova,15,250,3336,74,1
datsun b210,31,79,1950,74,3
ford pinto,26,122,2451,74,1
toyota corolla 1200,32,71,1836,74,3
chevrolet vega,25,140,2542,74,1
chevrolet chevelle malibu classic,16,250,3781,74,1
amc matador,16,258,3632,74,1
plymouth satellite sebring,18,225,3613,74,1
ford gran torino,16,302,4141,74,1
buick century luxus (sw),13,350,4699,74,1
dodge coronet custom (sw),14,318,4457,74,1
ford gran torino (sw),14,302,4638,74,1
amc matador (sw),14,304,4257,74,1
audi fox,29,98,2219,74,2
volkswagen dasher,26,79,1963,74,2
opel manta,26,97,2300,74,2
toyota corona,31,76,1649,74,3
datsun 710,32,83,2003,74,3
dodge colt,28,90,2125,74,1
fiat 128,24,90,2108,74,2
fiat 124 tc,26,116,2246,74,2
honda civic,24,120,2489,74,3
subaru,26,108,2391,74,3
fiat x1.9,31,79,2000,74,2
plymouth valiant custom,19,225,3264,75,1
chevrolet nova,18,250,3459,75,1
mercury monarch,15,250,3432,75,1
ford maverick,15,250,3158,75,1
pontiac catalina,16,400,4668,75,1
chevrolet bel air,15,350,4440,75,1
plymouth grand fury,16,318,4498,75,1
ford ltd,14,351,4657,75,1
buick century,17,231,3907,75,1
chevroelt chevelle malibu,16,250,3897,75,1
amc matador,15,258,3730,75,1
plymouth fury,18,225,3785,75,1
buick skyhawk,21,231,3039,75,1
chevrolet monza 2+2,20,262,3221,75,1
ford mustang ii,13,302,3169,75,1
toyota corolla,29,97,2171,75,3
ford pinto,23,140,2639,75,1
amc gremlin,20,232,2914,75,1
pontiac astro,23,140,2592,75,1
toyota corona,24,134,2702,75,3
volkswagen dasher,25,90,2223,75,2
datsun 710,24,119,2545,75,3
ford pinto,18,171,2984,75,1
volkswagen rabbit,29,90,1937,75,2
amc pacer,19,232,3211,75,1
audi 100ls,23,115,2694,75,2
peugeot 504,23,120,2957,75,2
volvo 244dl,22,121,2945,75,2
saab 99le,25,121,2671,75,2
honda civic cvcc,33,91,1795,75,3
fiat 131,28,107,2464,76,2
opel 1900,25,116,2220,76,2
capri ii,25,140,2572,76,1
dodge colt,26,98,2255,76,1
renault 12tl,27,101,2202,76,2
chevrolet chevelle malibu classic,17.5,305,4215,76,1
dodge coronet brougham,16,318,4190,76,1
amc matador,15.5,304,3962,76,1
ford gran torino,14.5,351,4215,76,1
plymouth valiant,22,225,3233,76,1
chevrolet nova,22,250,3353,76,1
ford maverick,24,200,3012,76,1
amc hornet,22.5,232,3085,76,1
chevrolet chevette,29,85,2035,76,1
chevrolet woody,24.5,98,2164,76,1
vw rabbit,29,90,1937,76,2
honda civic,33,91,1795,76,3
dodge aspen se,20,225,3651,76,1
ford granada ghia,18,250,3574,76,1
pontiac ventura sj,18.5,250,3645,76,1
amc pacer d/l,17.5,258,3193,76,1
volkswagen rabbit,29.5,97,1825,76,2
datsun b-210,32,85,1990,76,3
toyota corolla,28,97,2155,76,3
ford pinto,26.5,140,2565,76,1
volvo 245,20,130,3150,76,2
plymouth volare premier v8,13,318,3940,76,1
peugeot 504,19,120,3270,76,2
toyota mark ii,19,156,2930,76,3
mercedes-benz 280s,16.5,168,3820,76,2
cadillac seville,16.5,350,4380,76,1
chevy c10,13,350,4055,76,1
ford f108,13,302,3870,76,1
dodge d100,13,318,3755,76,1
honda accord cvcc,31.5,98,2045,77,3
buick opel isuzu deluxe,30,111,2155,77,1
renault 5 gtl,36,79,1825,77,2
plymouth arrow gs,25.5,122,2300,77,1
datsun f-10 hatchback,33.5,85,1945,77,3
chevrolet caprice classic,17.5,305,3880,77,1
oldsmobile cutlass supreme,17,260,4060,77,1
dodge monaco brougham,15.5,318,4140,77,1
mercury cougar brougham,15,302,4295,77,1
chevrolet concours,17.5,250,3520,77,1
buick skylark,20.5,231,3425,77,1
plymouth volare custom,19,225,3630,77,1
ford granada,18.5,250,3525,77,1
pontiac grand prix lj,16,400,4220,77,1
chevrolet monte carlo landau,15.5,350,4165,77,1
chrysler cordoba,15.5,400,4325,77,1
ford thunderbird,16,351,4335,77,1
volkswagen rabbit custom,29,97,1940,77,2
pontiac sunbird coupe,24.5,151,2740,77,1
toyota corolla liftback,26,97,2265,77,3
ford mustang ii 2+2,25.5,140,2755,77,1
chevrolet chevette,30.5,98,2051,77,1
dodge colt m/m,33.5,98,2075,77,1
subaru dl,30,97,1985,77,3
volkswagen dasher,30.5,97,2190,77,2
datsun 810,22,146,2815,77,3
bmw 320i,21.5,121,2600,77,2
mazda rx-4,21.5,80,2720,77,3
volkswagen rabbit custom diesel,43.1,90,1985,78,2
ford fiesta,36.1,98,1800,78,1
mazda glc deluxe,32.8,78,1985,78,3
datsun b210 gx,39.4,85,2070,78,3
honda civic cvcc,36.1,91,1800,78,3
oldsmobile cutlass salon brougham,19.9,260,3365,78,1
dodge diplomat,19.4,318,3735,78,1
mercury monarch ghia,20.2,302,3570,78,1
pontiac phoenix lj,19.2,231,3535,78,1
chevrolet malibu,20.5,200,3155,78,1
ford fairmont (auto),20.2,200,2965,78,1
ford fairmont (man),25.1,140,2720,78,1
plymouth volare,20.5,225,3430,78,1
amc concord,19.4,232,3210,78,1
buick century special,20.6,231,3380,78,1
mercury zephyr,20.8,200,3070,78,1
dodge aspen,18.6,225,3620,78,1
amc concord d/l,18.1,258,3410,78,1
chevrolet monte carlo landau,19.2,305,3425,78,1
buick regal sport coupe (turbo),17.7,231,3445,78,1
ford futura,18.1,302,3205,78,1
dodge magnum xe,17.5,318,4080,78,1
chevrolet chevette,30,98,2155,78,1
toyota corona,27.5,134,2560,78,3
datsun 510,27.2,119,2300,78,3
dodge omni,30.9,105,2230,78,1
toyota celica gt liftback,21.1,134,2515,78,3
plymouth sapporo,23.2,156,2745,78,1
oldsmobile starfire sx,23.8,151,2855,78,1
datsun 200-sx,23.9,119,2405,78,3
audi 5000,20.3,131,2830,78,2
volvo 264gl,17,163,3140,78,2
saab 99gle,21.6,121,2795,78,2
peugeot 604sl,16.2,163,3410,78,2
volkswagen scirocco,31.5,89,1990,78,2
honda accord lx,29.5,98,2135,78,3
pontiac lemans v6,21.5,231,3245,79,1
mercury zephyr 6,19.8,200,2990,79,1
ford fairmont 4,22.3,140,2890,79,1
amc concord dl 6,20.2,232,3265,79,1
dodge aspen 6,20.6,225,3360,79,1
chevrolet caprice classic,17,305,3840,79,1
ford ltd landau,17.6,302,3725,79,1
mercury grand marquis,16.5,351,3955,79,1
dodge st. regis,18.2,318,3830,79,1
buick estate wagon (sw),16.9,350,4360,79,1
ford country squire (sw),15.5,351,4054,79,1
chevrolet malibu classic (sw),19.2,267,3605,79,1
chrysler lebaron town @ country (sw),18.5,360,3940,79,1
vw rabbit custom,31.9,89,1925,79,2
maxda glc deluxe,34.1,86,1975,79,3
dodge colt hatchback custom,35.7,98,1915,79,1
amc spirit dl,27.4,121,2670,79,1
mercedes benz 300d,25.4,183,3530,79,2
cadillac eldorado,23,350,3900,79,1
peugeot 504,27.2,141,3190,79,2
oldsmobile cutlass salon brougham,23.9,260,3420,79,1
plymouth horizon,34.2,105,2200,79,1
plymouth horizon tc3,34.5,105,2150,79,1
datsun 210,31.8,85,2020,79,3
fiat strada custom,37.3,91,2130,79,2
buick skylark limited,28.4,151,2670,79,1
chevrolet citation,28.8,173,2595,79,1
oldsmobile omega brougham,26.8,173,2700,79,1
pontiac phoenix,33.5,151,2556,79,1
vw rabbit,41.5,98,2144,80,2
toyota corolla tercel,38.1,89,1968,80,3
chevrolet chevette,32.1,98,2120,80,1
datsun 310,37.2,86,2019,80,3
chevrolet citation,28,151,2678,80,1
ford fairmont,26.4,140,2870,80,1
amc concord,24.3,151,3003,80,1
dodge aspen,19.1,225,3381,80,1
audi 4000,34.3,97,2188,80,2
toyota corona liftback,29.8,134,2711,80,3
mazda 626,31.3,120,2542,80,3
datsun 510 hatchback,37,119,2434,80,3
toyota corolla,32.2,108,2265,80,3
mazda glc,46.6,86,2110,80,3
dodge colt,27.9,156,2800,80,1
datsun 210,40.8,85,2110,80,3
vw rabbit c (diesel),44.3,90,2085,80,2
vw dasher (diesel),43.4,90,2335,80,2
audi 5000s (diesel),36.4,121,2950,80,2
mercedes-benz 240d,30,146,3250,80,2
honda civic 1500 gl,44.6,91,1850,80,3
subaru dl,33.8,97,2145,80,3
vokswagen rabbit,29.8,89,1845,80,2
datsun 280-zx,32.7,168,2910,80,3
mazda rx-7 gs,23.7,70,2420,80,3
triumph tr7 coupe,35,122,2500,80,2
honda accord,32.4,107,2290,80,3
plymouth reliant,27.2,135,2490,81,1
buick skylark,26.6,151,2635,81,1
dodge aries wagon (sw),25.8,156,2620,81,1
chevrolet citation,23.5,173,2725,81,1
plymouth reliant,30,135,2385,81,1
toyota starlet,39.1,79,1755,81,3
plymouth champ,39,86,1875,81,1
honda civic 1300,35.1,81,1760,81,3
subaru,32.3,97,2065,81,3
datsun 210 mpg,37,85,1975,81,3
toyota tercel,37.7,89,2050,81,3
mazda glc 4,34.1,91,1985,81,3
plymouth horizon 4,34.7,105,2215,81,1
ford escort 4w,34.4,98,2045,81,1
ford escort 2h,29.9,98,2380,81,1
volkswagen jetta,33,105,2190,81,2
honda prelude,33.7,107,2210,81,3
toyota corolla,32.4,108,2350,81,3
datsun 200sx,32.9,119,2615,81,3
mazda 626,31.6,120,2635,81,3
peugeot 505s turbo diesel,28.1,141,3230,81,2
volvo diesel,30.7,145,3160,81,2
toyota cressida,25.4,168,2900,81,3
datsun 810 maxima,24.2,146,2930,81,3
buick century,22.4,231,3415,81,1
oldsmobile cutlass ls,26.6,350,3725,81,1
ford granada gl,20.2,200,3060,81,1
chrysler lebaron salon,17.6,225,3465,81,1
chevrolet cavalier,28,112,2605,82,1
chevrolet cavalier wagon,27,112,2640,82,1
chevrolet cavalier 2-door,34,112,2395,82,1
pontiac j2000 se hatchback,31,112,2575,82,1
dodge aries se,29,135,2525,82,1
pontiac phoenix,27,151,2735,82,1
ford fairmont futura,24,140,2865,82,1
volkswagen rabbit l,36,105,1980,82,2
mazda glc custom l,37,91,2025,82,3
mazda glc custom,31,91,1970,82,3
plymouth horizon miser,38,105,2125,82,1
mercury lynx l,36,98,2125,82,1
nissan stanza xe,36,120,2160,82,3
honda accord,36,107,2205,82,3
toyota corolla,34,108,2245,82,3
honda civic,38,91,1965,82,3
honda civic (auto),32,91,1965,82,3
datsun 310 gx,38,91,1995,82,3
buick century limited,25,181,2945,82,1
oldsmobile cutlass ciera (diesel),38,262,3015,82,1
chrysler lebaron medallion,26,156,2585,82,1
ford granada l,22,232,2835,82,1
toyota celica gt,32,144,2665,82,3
dodge charger 2.2,36,135,2370,82,1
chevrolet camaro,27,151,2950,82,1
ford mustang gl,27,140,2790,82,1
vw pickup,44,97,2130,82,2
dodge rampage,32,135,2295,82,1
ford ranger,28,120,2625,82,1
chevy s-10,31,119,2720,82,1
