ID,Price,Period,Area,Size,JR,St.time,Age,Distance,Address
127,2900,1,166,98,0,5,11,7,MISUZUGAOKA
128,3180,1,168,114,0,4,9,7,MISUZUGAOKA
129,3280,1,197,124,0,3,10,10,HIGASHIKANNONDAI
130,3280,1,188,122,0,2,4,10,AYAGAOKA
131,3280,1,171,115,0,7,10,7,MISUZUGAOKA
132,3300,1,195,62,1,2,8,12,EKIMAE
133,3680,1,175,114,0,2,15,6,INOKUCHI
134,3850,1,243,120,0,3,21,10,YAKUSHIGAOKA
135,4290,1,169,138,0,3,10,10,ITSUKAICHICHUO
136,7800,1,220,162,1,5,6,9,ASAHIEN
137,1500,1,109,81,0,7,12,10,SHIMOGOCHI
138,2580,1,167,117,0,3,7,9,FUJINOKIDAI
139,3180,1,185,121,0,2,6,10,AYAGAOKADANCHI
140,3190,1,152,114,0,1,0,19,ONOTANADA
141,3100,1,162,107,0,3,12,10,KANNONDAI
142,2980,1,108,102,0,1,0,10,HIGASHIKANNONDAI
143,3280,1,110,109,0,1,0,10,HIGASHIKANNONDAI
144,3070,1,117,93,0,2,0,6,SATSUKIGAOKA
145,3190,1,123,102,0,2,0,6,SATSUKIGAOKA
146,3680,1,164,108,0,3,9,10,TSUBOI
147,2980,1,197,108,0,1,0,11,YASHIRO
148,4480,1,253,161,0,8,0,6,SATSUKIGAOKA
149,3730,1,167,126,1,3,0,21,ONO
150,3980,1,100,97,1,4,1,3,KOIHONMACHI
151,3440,1,150,116,1,7,0,17,MIYAJIMAGUCHINISHI
152,3460,1,150,113,1,7,0,17,MIYAJIMAGUCHINISHI
153,3700,1,171,118,1,7,0,17,MIYAJIMAGUCHINISHI
154,3440,1,150,113,1,7,0,17,MIYAJIMAGUCHINISHI
155,3390,1,150,115,1,7,0,17,MIYAJIMAGUCHINISHI
156,4380,1,119,105,0,5,0,6,SUZUGADAI
157,1490,1,131,70,0,6,19,15,AJINA
158,3300,1,162,95,0,2,19,14,OGIZONO
159,3180,1,175,119,0,3,7,13,KAMIHERA
160,2480,1,105,91,0,3,19,8,YAHATA
161,3980,1,218,99,0,8,0,14,JIGOZENKITA
162,1980,1,86,72,0,13,17,6,INOKUCHI
163,2880,1,135,100,1,7,0,15,AJINA
164,4000,1,121,104,0,5,0,10,KAIROEN
165,4580,1,182,115,0,1,0,4,KOIUE
166,4580,1,181,114,0,1,0,4,KOIUE
167,3500,1,136,98,0,3,0,13,MIYAUCHI
168,3550,1,110,100,0,3,0,13,SHINGU
169,3400,1,110,134,0,3,26,13,SAKATA
170,3550,1,141,105,0,9,0,14,JIGOZENKITA
171,2000,1,170,74,0,3,27,13,SAKATA
172,2700,1,229,109,0,2,19,15,AJINADAI
173,2480,1,183,95,0,8,9,15,MIYAZONO
174,1620,1,116,101,0,4,17,15,AJINADAIKITA
175,2580,1,214,115,0,5,17,17,AOBADAI
176,2300,1,94,102,0,9,10,3,USHITASHIMMACHI
177,850,1,70,63,0,3,22,4,NAGATSUKANISHI
178,2290,1,160,80,0,1,17,4,KOIUE
179,3180,1,287,163,0,2,17,10,BISHAMONDAI
180,2050,1,92,79,0,5,16,7,KAWAUCHI
181,2580,1,202,122,0,2,16,4,KOIUE
182,3780,1,126,98,0,7,0,3,MITAKIHONMACHI
183,5780,1,225,177,0,6,9,3,SHINJOCHO
184,2680,1,127,81,0,2,21,8,MIDORII
185,4380,1,232,177,0,2,8,4,KOIUE
186,5977,1,148,127,0,3,0,4,KOGOKITA
187,2280,1,112,88,0,2,14,4,NAGATSUKANISHI
188,3090,1,191,105,0,9,10,5,NIHO
189,4400,1,215,95,0,1,11,6,YOKODAI
190,1950,1,132,84,0,1,12,13,KAMIHERA
191,1980,1,183,86,0,2,21,6,SATSUKIGAOKA
192,3200,1,195,123,0,1,0,13,SHINGU
193,3380,1,205,139,0,3,8,15,MIYAZONO
194,4280,1,213,133,1,8,30,9,ASAHIEN
195,5980,1,268,172,1,7,18,8,TOSUIEN
196,4180,1,165,137,1,10,0,17,FUKAE
197,4350,1,369,140,0,6,0,16,AOBADAI
198,3730,1,125,110,1,10,0,12,SUMIYOSHI
199,3980,1,161,110,1,4,15,9,ASAHIEN
200,4000,1,121,104,0,5,0,10,KAIROEN
201,4650,1,132,106,0,7,0,4,KOGOMINAMI
202,4680,1,120,108,0,3,0,7,INOKUCHIDAI
203,4680,1,123,106,0,3,0,7,INOKUCHIDAI
204,1580,1,79,72,0,1,19,13,SAKATA
